the_domain,the_country,the_rank,Labels,content_text
hkust.edu.hk,Hong Kong,65,"research materials, policy, technical documentation","Online tools to help create citations in different formats.
Why Scholars Cite
Note: You need to cite sources in your writing if you use someone else's ideas, data, methodologies, illustrations, etc.; it does not matter what format they are in.
IEEE style adopts a numerical system for referencing. Each source is cited using a number in square brackets within the text.
Watch this short video to learn how to cite journal articles, book chapters, and patents in IEEE style.
According to the IEEE Submission and Peer Review Policies -> Guidelines for Artificial Intelligence (AI)-Generated Text
""The use of content generated by artificial intelligence (AI) in an article (including but not limited to text, figures, images, and code) shall be disclosed in the acknowledgments section of any article submitted to an IEEE publication. The AI system used shall be identified, and specific sections of the article that use AI-generated content shall be identified and accompanied by a brief explanation regarding the level at which the AI system was used to generate the content.
The use of AI systems for editing and grammar enhancement is common practice and, as such, is generally outside the intent of the above policy. In this case, disclosure as noted above is recommended.""
We suggest referring to AI-generated content as Software in IEEE style.
[1] B. Stollnitz, ""How GPT Models Work,"" Medium. Accessed: Aug. 14, 2023. [Online.] Available: 
[2] D. Butts, ""How will ChatGPT and AI transform education? HKUST expects big changes and is already preparing for it,"" South China Morning Post. (May 21, 2023). Accessed: Aug. 16, 2023. [Online]. Available: 
[3] The Government of the Hong Kong Special Administrative Region, Electrical and Mechanical Services Department, ""Technical Investigation Report on Escalator Incident at Langham Place, Mong Kok,"" EMSD, Hong Kong, Jun. 9, 2017. Accessed: Jul. 27, 2023. [Online]. Available: 
[4] Lex Fridman. Andrew Ng: Deep Learning, Education, and Real-World AI | Lex Fridman Podcast #73. (Feb 21, 2020). Accessed: Aug. 14, 2023. [Online Video]. Available: 
[5] Standard Speciﬁcation for Performance of Materials Used in Medical Face Masks, ASTM Standard F2100-23, Mar. 2023. [Online]. Available: 
[6] Antenna Products. (2011). Antcom. Accessed: Jan. 11, 2019. [Online]. Available: 
Note: IEEE follows the Force 11 Citation Principles"
kaist.ac.kr,South Korea,83,"news, research materials","Following papers are accepted to NAACL 2025:
- Generative Prompt Internalization
- The BiGGen Bench: A Principled Benchmark for Fine-grained Evaluation of Language Models with Language Models
- Evaluating Multimodal Generative AI with Korean Educational Standards
- CORG: Generating Answers from Complex, Interrelated Contexts
- KMMLU: Measuring Massive Multitask Language Understanding in Korean
The following paper is accepted to NAACL 2025 findings:
- Ask Optimal Questions: Aligning Large Language Models with Retriever's Preference in Conversation
The following paper is accepted to NAACL 2025 Industry Track:
- Towards Reliable and Practical Phishing Detection
Following paper is accepted to AAAI 2025:
- RouterRetriever: Routing over a Mixture of Expert Embedding Models
Following papers are accepted to NeurIPS 2024:
- How Do Large Language Models Acquire Factual Knowledge During Pretraining?
- Aligning to Thousands of Preferences via System Message Generalization
Following papers are accepted to EMNLP 2024:
- Prometheus 2: An Open Source Language Model Specialized in Evaluating Other Language Models
- Hierarchical Deconstruction of LLM Reasoning: A Graph-Based Framework for Analyzing Knowledge Utilization
- Exploring the Practicality of Generative Retrieval on Dynamic Corpora
- On Efficient Language and Vision Assistants for Visually-Situated Natural Language Understanding: What Matters in Reading and Reasoning
- Rethinking the Role of Proxy Rewards in Language Model Alignment
- Instruction Matters, a Simple yet Effective Task Selection Approach in Instruction Tuning for Specific Tasks
The following paper is accepted to EMNLP 2024 Findings:
- Self-Explore to Avoid the Pit: Improving the Reasoning Capabilities of Language Models with Fine-grained Rewards"
cmu.edu,United States,24,"news, media","Carnegie Mellon Releases Remastered Version of 'The Last Lecture'
Using AI, a video systems engineer who worked with Randy Pausch revisited inspirational talk viewed by millions worldwide
Media Inquiries
by Michael Henninger(opens in new window)
Brian Parker has filmed presidential visits, experimented with cutting-edge video technologies and orchestrated dozens of large-scale productions during Commencement and Orientation over a 27-year career at Carnegie Mellon University.
Yet no other production has had the lasting impact of Parker’s work with the late Randy Pausch, which was seen by millions around the world. Using AI tools, Parker has meticulously created a remastered version of “The Last Lecture,” which he filmed 17 years ago on Sept. 18, 2007.
The heartening talk wasn’t Parker’s first collaboration with Pausch, a computer science professor and co-founder of the Entertainment Technology Center(opens in new window), a groundbreaking graduate program that combines arts and computer science at Carnegie Mellon. They began working together years prior, recording Pausch’s Building Virtual Worlds(opens in new window) exhibitions from 1999-2007.
“Randy loved our work. He asked me, three days prior to giving ‘The Last Lecture’ to ‘record a nice, high-quality heirloom’ for his kids. But he wasn’t telling anyone in the audience. I had to keep it all secret,” said Parker, a video systems engineer in CMU’s Media Services(opens in new window).
Brian Parker, who filmed the original ""Last Lecture,"" enhanced its quality using generative AI.
Keeping Pausch's lecture secret
Due to the secrecy, Parker planned out a large-scale style production with a skeleton crew: one lighting designer and one camera operator. Parker operated two robotic cameras while simultaneously directing.
“Randy knew what he wanted. He knew how to make things exciting, and that made me feel like it was something I wanted to do,” Parker said. “He would generate so much excitement for anything he did that it’d be standing room-only in McConomy Auditorium. For his Last Lecture, there was a line around the block waiting to get in.”
Scenes from ""The Last Lecture.""
In place two hours early, Parker watched the room fill to capacity with rows of people sitting in the stairwells. What happened next would touch more hearts and minds than could fill McConomy a thousand times. Pausch’s talk about achieving childhood dreams was a lesson to his children about overcoming obstacles, seizing life’s moments and living generously while supporting the dreams of others.
Pausch's words inspire millions worldwide
Parker truly understood the reach of Pausch’s message when Diane Sawyer encouraged the audience of “Good Morning America” to watch the video, sending tens of thousands of people to view it.
The video soon became one of the first videos uploaded to Carnegie Mellon’s YouTube channel(opens in new window), amassing more than 21 million views since.
“Then Randy’s life got super busy. The only time after that we talked is when he personally brought me a signed copy of his book,” Parker said.
Parker's inscription from Pausch.
After the talk, Pausch appeared on Oprah, joined the Pittsburgh Steelers for a day of practice, and went on to co-author a New York Times bestselling book adaptation of “The Last Lecture” with Jeffrey Zaslow, which has been translated and sold in dozens of languages worldwide.
Pausch died on July 25, 2008. On Carnegie Mellon University’s campus, the Randy Pausch Memorial Bridge(opens in new window) connects the Gates Center for Computer Science and the Purnell Center for the Arts, a visual reminder and memorial of his work to bridge the arts and computer science.
The Randy Pausch Memorial Bridge
How AI helped enhance old tape
With recent developments in AI video editing technology, Parker thought “The Last Lecture” was the right project to update. Parker ran 15 seconds of footage through new software and found a stark difference in detail.
“It was footage of Randy on stage, some slide material and some medium-dark shots of someone sitting in the audience. There was a striking difference, to where you could see detail in his hair. You could read the Walt Disney insignia on his shirt. Even the soda bottle on the back wall, you could see the kind of drink he was drinking,” Parker said.
Now planning to revitalize the entire production, Parker needed to recapture the recording in the highest quality possible — from the original DVCAM tape, a format no longer widely used. Parker tracked down a working player and MacPro tower from 2008 capable of capturing and converting the footage into a high-resolution ProRes format.
Brian Parker delivers a talk at Carnegie Mellon on generative AI in media.
“When you get nice, clean pixels, the AI software really shines,” Parker said.
After making additional enhancements, including color and brightness adjustments and logo updates, Parker exported the new, remastered file, a process that took 4 1/2 hours to complete.
“I remember filming it and thinking, finally! Everyone knows. I kept it a secret for three days!” Parker said. “It touched so many people. Last year at a video conference, I met people in the broadcast industry who knew about Carnegie Mellon because of Randy Pausch. They asked me if I knew about ‘The Last Lecture.’
“Do I? I could tell you a story about it.”"
illinois.edu,United States,42,"policy, syllabi","Instructors have the authority to set the rules for how they want students to use generative AI in their classes. Many instructors have already developed policies for their courses. (Here is a document that brings together policies from several courses.)
Here are some models that might be helpful.
Prohibition:
AI tools, including ChatGPT, Bard, and the like are not permitted for any stage or phase of work in this class. Use of these tools in this course will be considered academic dishonesty and a violation of the College of Law’s Honor Code.
Any work written, developed, created, or inspired by artificial intelligence (AI) is considered plagiarism and will not be tolerated. While these new developments will find their place in our workforces and personal lives, this kind of technology does not belong as we are learning. The use of AI robs us all of the opportunity to learn from our experiences and from each other, to learn to synthesize and analyze sources and concepts, and to contribute our ideas in authentic ways. In addition, law school is a place to improve our writing. Relying on AI does not accomplish this.
Limited use:
The use of generative AI tools is permitted in this course for the following activities:
● Brainstorming and refining your ideas;
● Fine tuning your research questions;
● Finding information on your topic;
● Drafting an outline to organize your thoughts; and
● Checking grammar and style.
The use of generative AI tools is not permitted in this course for the following activities:
● Impersonating you in classroom contexts, such as by using the tool to compose discussion board prompts assigned to you or content that you put into a Zoom chat.
● Completing group work that your group has assigned to you, unless it is mutually agreed upon that you may utilize the tool.
● Writing a draft of a writing assignment.
● Writing entire sentences, paragraphs or papers to complete class assignments.
You are responsible for the information you submit based on an AI query (for instance, that it does not violate intellectual property laws, or contain misinformation or unethical content). Your use of AI tools must be properly documented and cited in order to stay within university policies on academic honesty. Any use outside of this permission will be considered academic dishonesty and a violation of the College of Law’s Honor Code.
Use when instructed to do so:
During our class, we may use AI tools such as ChatGPT. You will be informed as to when, where, and how these tools are permitted to be used, along with guidance for attribution. Any use outside of this permission will be considered academic dishonesty and a violation of the College of Law’s Honor Code.
All use:
AI tools such as ChatGPT are welcome in this class, provided that you cite when and how you use the tool. You will be provided with examples of how to cite your use of this tool in your writing.
There are a variety of AI programs available to assist students. AI programs are not a replacement for critical thinking, analysis, creativity, and originality. Writing is a craft that you must develop over time to develop your own individual voice. However, within limited circumstances, and with proper attribution, AI programs may be used as a tool.
Sample attribution language
“The author generated this document in part with [name the AI tool]. Upon generating draft language, the author reviewed, edited, and revised the language to their own liking. The author has verified all cases, statutes, regulations, and other sources cited in or relied upon in preparation of this document. The author takes ultimate responsibility for the content of this document.”
Sources:"
vub.be,Belgium,247,alumni and faculty,"Ulysse Maes
Biography
Ulysse holds a master’s degree in Business and Information Systems Engineering, where he graduated magna cum laude. His academic pursuits took him to SKEMA Business School in Antibes, where, during an Erasmus exchange, he deepened his knowledge of entrepreneurship in an international setting. Notably, his master’s thesis was dedicated to the development of a user-oriented chatbot enhancing DMN execution. This was followed by his successful completion of a Postgraduate Degree in Tech Innovations in Ventures and Teams. During that year, he co-founded Amodamo, a platform endorsing responsible fashion, and established Scribewave, an online transcription service specialised in converting speech-to-text in local languages.
His focus is on comprehending the multifaceted challenges and opportunities presented by the evolving landscape of generative AI for news and video recommender systems. He likes to operate at the bridge between technological innovation, business drivers and societal implications.
Ulysse is part of the SRP Media track, where he focusses on using Large Language Models to make recommender systems more explainable and interactive. As part of this track, he develops and tests novel user interfaces, and maps the usage of LLMs in recommender systems.
Location
Pleinlaan 9
1050 Brussels
Belgium"
keio.ac.jp,Japan,691,research materials,"Keio University, Carnegie Mellon University (CMU), and partner institutions foster interdisciplinary collaboration on AI. The research will focus on embodied AI, multilingual AI, autonomous AI that coexists with humans, and AI for scientific discovery.
2024/09/14～2029/03/31
◎ indicates the project leader

----------------METADATA------------------

Keio AI Research Center

Return to Project List

Keio University, Carnegie Mellon University (CMU), and partner institutions foster interdisciplinary collaboration

on AI. The research will focus on embodied AI, multilingual AI, autonomous AI that coexists with humans, and AI for

scientific discovery.

8. DECENT WORK AND ECONOMIC GROWTH

2024/09/14～2029/03/31

◎ indicates the project leader

Field of Specialization/Research Interests

Faculty of Science and Technology

Machine Intelligence

Faculty of Science and Technology

Faculty of Science and Technology

Faculty of Science and Technology

Computational Linguistics

Faculty of Science and Technology

Computer Architecture

Shinnosuke Takamichi

Faculty of Science and Technology

Spoken Language Processing

Faculty of Science and Technology

Complex Network Science

Faculty of Science and Technology

Human-Robot Interaction

Faculty of Science and Technology

Faculty of Science and Technology

Human-Agent Interaction

Faculty of Science and Technology

Graduate School of System Design and Management

Faculty of Science and Technology

Human Biology Microbiome Quantum Research Center

Faculty of Science and Technology

Faculty of Science and Technology

Theoretical Chemistry

Faculty of Science and Technology

Mathematical Optimization

Collaborative Researcher

continuous optimization, numerical analysis, machine learning, discontinuous dynamical systems, nonsmooth

analysis (particularly interested in establishing convergence analysis for numerical optimization from the

perspective of dynamical systems by focusing on the analogies between the two fields (optimization and

numerical analysis), as well as their applications.

Collaborative Researcher

Machine learning, including OCR(optical character recognition) and LLM(large language models)

Collaborative Researcher

Deep Learning using unstructured data like voice data, image data, 3D model, Business process automation

Collaborative Researcher

Computer Vision and Machine Learning

Collaborative Researcher

Software Engineering, Large Language Models

Collaborative Researcher

Driving behaviors of senior drivers

Collaborative Researcher

AI, Machine learning, CV/CG, Image/Audio signal processing

Collaborative Researcher

Lithium-ion battery, Lithium-metal anode, Surface modification

Collaborative Researcher

Recognition of image and time series data"
utoronto.ca,Canada,21,"news, media","An assignment that gives students an opportunity to assess the benefits and limitations of artificial intelligence is having its second run this year in Organic Materials Chemistry (CHM456/CHM1304).
“Most students are using AI in their daily lives. That makes this a good time to build it into the class,” said Professor Dwight Seferos, who created the assignment along with graduate student Bryton Varju, and who is running it for the second time this semester.
The assignment challenges students to use analysis and critical thinking as well as fact checking, by having them examine AI-generated essays on topics covered in class, explained Seferos. Critical analysis of the essays will reveal errors made in the process.
“AI can generate a lot of things... and they might be correct or not.”
Varju, a graduate student working in the Seferos group, was instrumental in designing the assignment. “I wrote a Chemistry Teaching Fellowship Program (CTFP) proposal outlining a writing assignment where students would edit short essay answers generated by ChatGPT, when prompted with exam-style questions.”
Originally from BC, Varju was introduced to Prof. Seferos and his research when he was invited to a departmental seminar at Simon Fraser University. “I was doing my MSc and though his work was totally different to the inorganic chemistry I was working on at the time,I found the talk very intriguing. After I finished my MSc, I packed up and drove across the country to start my PhD in Dwight's lab.”
Varju’s research focuses on degradable conjugated polymers, plastics that can function as semiconductors. “The idea is that they are sturdy enough to use in an electronic device but will fully break down (no microplastics) when exposed to a specific trigger, like sunlight. Eventually, these materials can be used to make fully degradable electronic devices.”
The inspiration for the classroom assignment was ChatGPT, a generative chatbot utilizing a large-language model (LLM), which was released publicly on Nov. 22, 2022. “The idea of asking students to edit essay responses is that it gives them a chance to interact with ChatGPT and evaluate how it responds to high-level questions, while simultaneously improving their grasp on the course material by simulating a peer review process.”
The Chemistry Teaching Fellowship Program provides financial incentives and opportunities to develop specific teaching initiatives, under the supervision of a faculty member. The objective is to provide a high-quality learning experience in developing pedagogical tools that would benefit both the graduate student in their future careers and directly enhance the quality of instruction currently in the department. Varju’s successful proposal enabled implementation of the new assignment into the course last year.
“To be honest, the assignment ran more smoothly than I was expecting! Generating the list of exam-style short answer questions was the most time-consuming aspect of the project.”
""I was very nervous ChatGPT would generate completely erratic responses, but I was relieved to find that it mostly behaved. The main problems that were to do with ChatGPT misinterpreting a question, and usually just adding a few clarifying words solved the problem.”
“The benefit of working with an upper-year undergraduate/graduate student course is that everyone already has experience with written assignments, so the only novel aspect to them is the use of ChatGPT.”
Varju noted public fears surrounding AI, not to mention the speed with which these technologies are being implemented into familiar services and online ecosystems. ""My experience with LLM generative chatbots from running this assignment has taught me that they are able to generate writing that is passable to non-experts but usually does not hold up to the scrutiny of those actively engaging with the field.”
“A lot of the concern I have heard comes from how rapidly ChatGPT and related generative chatbots can create convincing writing, essentially allowing platforms with minimal fact-checking before publication (YouTube, most social media sites) to be flooded with artificial content.”
“The danger is not that the chatbots will become ""smarter"", but rather that they will be more and more difficult to identify. The input of verified experts is going to become very important to all of the fields affected by this.”
“Since current students are positioned to be the next generation of experts and will have to grapple with the existence of this technology for all of their professional lives, it's important to get them thinking about this early.”
Seferos agreed, and said he is pleased to be running the assignment again, this time with graduate student Ebad Noman.
“The most important thing is the student feedback. I really value suggestions from our students. They put us at the front line of these new educational approaches.”
Usefully integrating AI into advanced courses like Organic Materials Chemistry has potential to be a valuable educational tool, fostering critical thinking and analytical skills. As AI continues to evolve, such assignments will be crucial in preparing the next generation of scientists and professionals to navigate and leverage these advancements responsibly. Seferos and Varju's innovative approach exemplifies forward-thinking educational strategies that can equip students for the future."
vanderbilt.edu,United States,93,"policy, research materials, syllabi","Faculty Guidance
Have questions or want additional information? Please contact us using the link below and we'll be happy to assist you.
Vanderbilt University is already emerging as a global leader in generative AI implementation and research in higher education. This page is sponsored by Vanderbilt’s Institute for the Advancement of Higher Education (AdvancED) (formerly the Center for Teaching and the Office of Digital Education) and serves as resource hub for all faculty activities related to generative AI, including:
- Generative AI & Research
- Teaching with Generative AI
- Course Design and Teaching Practices
- Academic Integrity
Generative AI & Research
Understand how to use generative AI in your research endeavors.
Teaching with Generative AI
Tips for incorporating generative AI in the classroom.
Course Design & Teaching Practices
Generative AI strategies to create meaningful learning experiences for students.
Academic Integrity & Generative AI
University policy on generative AI and academic integrity and how to discuss with students."
unsw.edu.au,Australia,84,"syllabi, policy","Overview
Students must complete at least 4 courses (24 UOC) from the following lists to obtain a specialisation in International Law in the Master of Laws.
When a student completes the Master of Laws which incorporates a specialisation, the student's academic transcript and Testamur will identify the specialisation and will contain … For more content click the Read More button below.
Learning Outcomes
1.
Same learning outcomes as for LLM by Coursework (9201), with particular knowledge and skills in the field of International Law.
- Professionals
- Leaders
- Global citizens
- Scholars
Available in Program(s) Single degree program(s) in which this specialisation is available:
Master of Laws - LLM9201 - Law
Specialisation Structure
Students must complete 24 UOC.
Prescribed Electives
Enrolment Disclaimer
Please note that this Handbook is a comprehensive catalogue of our offerings and includes courses that can be taken to satisfy program requirements irrespective as to their availability for a particular year. Availability of courses is best checked using filters on this site or on the class timetable site.
You are responsible for ensuring that you enrol in courses according to your program requirements and by following the advice of your Program Authority. myUNSW enrolment checks that you have met enrolment requirements such as pre-requisites for individual courses but not that you are enrolling in courses that will count towards your program requirements.
You are responsible for ensuring that you enrol in courses according to your program requirements and by following the advice of your Program Authority. myUNSW enrolment checks that you have met enrolment requirements such as pre-requisites for individual courses but not that you are enrolling in courses that will count towards your program requirements.
Pre-2019 Handbook Editions
Access past handbook editions (2018 and prior)"
harvard.edu,United States,4,"news, events, media","Does ChatGPT spell the end of English Lit 101, or an improvement to it? Could DALL-E make art class irrelevant, or more important than ever?
Since the 2022 debut of ChatGPT, a text generator powered by a large language model that uses artificial intelligence to generate responses, the world has been both giddy and apprehensive about the future of the technology. Generative AI tools capable of answering questions, responding to complex prompts, and even generating novel images, music, and prose have led many to fret about the ways in which the nascent tools could change the way we live, work, play — and learn.
Teachers, in particular, have expressed anxiety about how AI might transform education, from facilitating cheating, to preventing students from retaining information or practicing new skills, to introducing bias or misinformation. But while these are valid concerns, says Sarah Newman of metaLAB at Harvard, part of the Berkman Klein Center for Internet & Society, she adds that AI might also offer exciting new possibilities for learning, and that students should understand how it works, including the risks it poses.
MetaLAB’s latest initiative, called the AI Pedagogy Project, aims to demystify artificial intelligence for educators and help them think about how AI tools might be incorporated into their teaching. Newman began the project, which includes tutorials, resources, and live events, after she noticed that her students were increasingly curious about AI technology — an enthusiasm not always matched by their professors.
“One of the things I noticed from fellow educators here at Harvard, but also in conversations with educators elsewhere, was that people coming from non-technical fields seemed very concerned and self-reportedly ill-equipped to address AI,” says Newman, who is director of art and education at metaLAB.
Newman stresses that the project’s main goal is to empower educators who are interested in considering the implications of AI — not to force anyone to adopt it. “We want this to be a starting place, to use it as a way for educators to reflect on their own pedagogy and the goals of their teaching,” she says. “AI tools can also help us reflect on our own disciplines and see them in a new light.”
The project is aimed at all educators, with special attention to those in the liberal arts, Newman says, because of what those disciplines can in turn contribute to AI. “We want to examine not just what AI might teach us about history, but also what history can teach us about AI. Or, for example, where can philosophy contribute when we consider what it means to be human, and ask: What kind of future do we want to create, who is doing the creating, and who will participate in those conversations? How will AI change the way law is read, written, and taught, while the law is, in real time, a means for limiting the power of the very AI technologies that will change how it is practiced?”
Sebastian Rodriguez, a developer and researcher from the metaLAB team, who first joined the project as a 2023 intern at the Berkman Klein Center, agrees. “The humanities raise these critical questions, and our goal is to help educators facilitate these conversations in their classrooms,” he says. “It’s important for students to consider the potential use cases, risks, and ethical implications of AI before they go out and start their careers. And although our project is framed through a humanistic lens, educators from any field can use and find value in our resources.”
To that end, the AI Pedagogy Project’s website explains — in accessible terms — what AI tools are and how they work. A set of additional resources point teachers to more information about how AI functions, sample codes of conduct for the use of AI in the classroom, and online communities dedicated to discussing the use of AI in education.
The team, which is composed of students and educators, as well as a lineup of terrific advisors, also created an interactive ChatGPT tutorial to walk users through the chatbot’s interface, outlining what it can and cannot do, and offering ideas for how the model might be deployed in everyday lessons. For example, Rodriguez says the tool can be a useful resource to learn more about a topic of interest. “It isn’t always going to be accurate,” he cautions. “But it can give you a good starting place to explore a topic, which you can use to search for other sources and form your own ideas.”
Newman admits that it is hard to predict all of the ways in which educators might use AI. But that’s part of what makes it interesting, she says. “For some people, AI tools are useful in brainstorming or thinking outside the box, because you can get large language models to perform as randomness generators, in a way. For others, they can serve as starting places from which to iterate. Different people learn in different ways, and these tools will serve people differently.”
The AI Pedagogy Project’s website also features a growing collection of classroom assignments that integrate AI into a lesson plan or learning module, says Rodriguez. “Our assignments are designed to help students reflect on the capabilities and limitations of AI. Some are really hands-on, having students input a prompt and critically analyze the response. But other assignments are meant to provoke discussion and critical thinking about AI without necessarily using the tools themselves.”
The assignments come from educators across the world who are starting to experiment with AI in the classroom, says Newman. “We wanted to create a searchable repository of assignments, so that educators whose specialty is, say, biomedical ethics or Russian literature, can bring their subject material into dialogue with AI technologies.”
The team hopes that educators come away not only with a better understanding of AI tools, but also where they can fall short.
“A creative and critical approach is really important for us — we’re not just celebrating this stuff,” Newman says. “Any use of it should include a critical lens that considers bias, labor practices (used in training and tuning the models), what are the environmental impacts, media manipulation, and other potential harms.”
Ultimately, says Newman, AI is likely to transform education in unexpected ways — and teachers could be on the forefront of that change. “Education has always evolved alongside technologies,” she says. “The way people now write is different than the way they wrote before there were word processors or typewriters. The way people now learn to spell is different because we have spell checkers. These AI technologies are different, but not so different that we can’t see this as part of a historical evolution of education too.”
The AI Pedagogy Project will hold a virtual workshop for educators and others on February 14. Learn more on the metaLAB website, and visit the AI Pedagogy Project here.
Want to stay up to date with Harvard Law Today? Sign up for our weekly newsletter."
